source_lemma,target_translation,source,source_id,uri
okenní výplň,window panes,amcr,HES-000738,https://api.aiscr.cz/id/HES-000738
okr,ochre,teater,2433,https://teater.aiscr.cz/id/2433
okrasný objekt,decorative object,teater,1617,https://teater.aiscr.cz/id/1617
okrasný sad,ornamental orchard,teater,1273,https://teater.aiscr.cz/id/1273
okultismus,occultism,teater,3849,https://teater.aiscr.cz/id/3849
oldovan,Oldowan,teater,1079,https://teater.aiscr.cz/id/1079
olej,oils,teater,2424,https://teater.aiscr.cz/id/2424
olešnické knížectví,Duchy of Oels,teater,3043,https://teater.aiscr.cz/id/3043
oligarchie,oligarchy,teater,3681,https://teater.aiscr.cz/id/3681
olivy,olive,teater,2425,https://teater.aiscr.cz/id/2425
olovo,lead,amcr,HES-000915,https://api.aiscr.cz/id/HES-000915
oltář,altar,amcr,HES-000501,https://api.aiscr.cz/id/HES-000501
omán,Oman,amcr,HES-001223,https://api.aiscr.cz/id/HES-001223
omítka,plaster,amcr,HES-000739,https://api.aiscr.cz/id/HES-000739
onager,onager,teater,1984,https://teater.aiscr.cz/id/1984
onomastika,onomastics,teater,613,https://teater.aiscr.cz/id/613
opasek,belt,amcr,HES-000676,https://api.aiscr.cz/id/HES-000676
opat,abbot,teater,3121,https://teater.aiscr.cz/id/3121
opavské knížectví,Duchy of Troppau,teater,3044,https://teater.aiscr.cz/id/3044
opavské slezsko,Opavian Silesia,teater,3045,https://teater.aiscr.cz/id/3045
opevnění,fortification,teater,1619,https://teater.aiscr.cz/id/1619
opisthodomos,opisthodomos,teater,1728,https://teater.aiscr.cz/id/1728
opracování kamene,stone-working,teater,3297,https://teater.aiscr.cz/id/3297
optické vlastnosti minerálu,optical properties of mineral,teater,976,https://teater.aiscr.cz/id/976
opál,opal,teater,2510,https://teater.aiscr.cz/id/2510
opěrný pilíř,abutment,teater,1591,https://teater.aiscr.cz/id/1591
oradlo,ard,teater,2159,https://teater.aiscr.cz/id/2159
orba,plowing,teater,3217,https://teater.aiscr.cz/id/3217
orchéstra,orchestra,teater,1487,https://teater.aiscr.cz/id/1487
ordál,trial by ordeal,teater,3602,https://teater.aiscr.cz/id/3602
orfismus (umění),orphism (art),teater,524,https://teater.aiscr.cz/id/524
organická chemie,organic chemistry,teater,610,https://teater.aiscr.cz/id/610
organický minerál,organic mineral,teater,975,https://teater.aiscr.cz/id/975
orientalismus,orientalism,teater,4152,https://teater.aiscr.cz/id/4152
orientační zjištění,brief evidence,amcr,HES-001055,https://api.aiscr.cz/id/HES-001055
orientální civilizace,oriental civilization,teater,3692,https://teater.aiscr.cz/id/3692
originál ztracen/zničen,original lost/destroyed,amcr,HES-001171,https://api.aiscr.cz/id/HES-001171
ornament,ornament,teater,1877,https://teater.aiscr.cz/id/1877
ornamentika,ornamentation,teater,1876,https://teater.aiscr.cz/id/1876
ornice,arable topsoil,amcr,HES-000243,https://api.aiscr.cz/id/HES-000243
orná půda,arable land,teater,3223,https://teater.aiscr.cz/id/3223
orografie,orography,teater,885,https://teater.aiscr.cz/id/885
ortodoxie,orthodoxy,teater,3793,https://teater.aiscr.cz/id/3793
ortofotomapa,orthophotomap,teater,125,https://teater.aiscr.cz/id/125
orální historie (etnologie),oral history (ethnology),teater,4316,https://teater.aiscr.cz/id/4316
oskové,Osci,teater,3953,https://teater.aiscr.cz/id/3953
osové,Osi,teater,3954,https://teater.aiscr.cz/id/3954
ostatky svatých,relics of saints,teater,755,https://teater.aiscr.cz/id/755
osteologická analýza,osteological analysis,teater,165,https://teater.aiscr.cz/id/165
osteometrie,osteometry,teater,3874,https://teater.aiscr.cz/id/3874
osteozoologie,osteozoology,amcr,HES-001440,https://api.aiscr.cz/id/HES-001440
ostrogóti,Ostrogoths,teater,2605,https://teater.aiscr.cz/id/2605
ostroměřská skupina,Ostroměř Group,amcr,HES-000266,https://api.aiscr.cz/id/HES-000266
ostruha,spur,amcr,HES-000787,https://api.aiscr.cz/id/HES-000787
ostění,jamb,amcr,HES-000710,https://api.aiscr.cz/id/HES-000710
ostřivo,temper,teater,3269,https://teater.aiscr.cz/id/3269
osvícenský absolutismus,enlightened absolutism,teater,3668,https://teater.aiscr.cz/id/3668
osvětlování,light source,teater,2128,https://teater.aiscr.cz/id/2128
osídlený skalní prostor,cave settlement,amcr,HES-000065,https://api.aiscr.cz/id/HES-000065
osídlování,land settlement,teater,903,https://teater.aiscr.cz/id/903
othering,othering,teater,4151,https://teater.aiscr.cz/id/4151
otloukač,hammerstone,amcr,HES-000656,https://api.aiscr.cz/id/HES-000656
otomanská kultura,Ottomany culture,teater,1162,https://teater.aiscr.cz/id/1162
otonská architektura,Ottonian architecture,teater,3056,https://teater.aiscr.cz/id/3056
otonské umění,Ottonian art,teater,3057,https://teater.aiscr.cz/id/3057
otopná pec,oven,amcr,HES-000424,https://api.aiscr.cz/id/HES-000424
otopné zařízení,heating equipment,amcr,HES-000421,https://api.aiscr.cz/id/HES-000421
otroctví,slavery,teater,3603,https://teater.aiscr.cz/id/3603
otrok,slave,teater,3639,https://teater.aiscr.cz/id/3639
otrokyně,slave women,teater,3640,https://teater.aiscr.cz/id/3640
ovce,sheep,teater,3231,https://teater.aiscr.cz/id/3231
oves,oats,teater,1929,https://teater.aiscr.cz/id/1929
ovčí vlna,sheep wool,teater,2550,https://teater.aiscr.cz/id/2550
ozdoba,adornment,amcr,HES-000834,https://api.aiscr.cz/id/HES-000834
oštěp,javelin,teater,2001,https://teater.aiscr.cz/id/2001
oštěp/hrot oštěpu,javelin/javelin head,amcr,HES-000788,https://api.aiscr.cz/id/HES-000788
pacht,ground rent,teater,3604,https://teater.aiscr.cz/id/3604
paelignové,Paeligni,teater,3955,https://teater.aiscr.cz/id/3955
paflagonie,Paphlagonia,teater,4077,https://teater.aiscr.cz/id/4077
palaistra,palaestra,teater,1547,https://teater.aiscr.cz/id/1547
palau,Palau,amcr,HES-001387,https://api.aiscr.cz/id/HES-001387
palcát,mace (palcát),teater,2002,https://teater.aiscr.cz/id/2002
palebné postavení,gun emplacement,amcr,HES-000506,https://api.aiscr.cz/id/HES-000506
paleoantropologie,paleoanthropology,teater,323,https://teater.aiscr.cz/id/323
paleobiogeografie,paleobiogeography,teater,325,https://teater.aiscr.cz/id/325
paleobiologie,paleobiology,teater,326,https://teater.aiscr.cz/id/326
paleobotanika,paleobotany,teater,328,https://teater.aiscr.cz/id/328
paleodemografie,palaeodemography,teater,344,https://teater.aiscr.cz/id/344
paleodermatoglyfika,paleodermatoglyphics,teater,324,https://teater.aiscr.cz/id/324
paleoekologie,paleoecology,teater,345,https://teater.aiscr.cz/id/345
paleoentomologická analýza,palaeoentomology,teater,166,https://teater.aiscr.cz/id/166
paleogeografie,paleogeography,teater,346,https://teater.aiscr.cz/id/346
paleografie,paleography,teater,671,https://teater.aiscr.cz/id/671
paleogén,palaeogene,teater,1057,https://teater.aiscr.cz/id/1057
paleoklimatologie,paleoclimatology,amcr,HES-001445,https://api.aiscr.cz/id/HES-001445
paleolit,Palaeolithic,amcr,HES-000395,https://api.aiscr.cz/id/HES-000395
paleolit-mezolit,Palaeolithic-Mesolithic,teater,1073,https://teater.aiscr.cz/id/1073
paleolit–mezolit,Palaeolithic–Mesolithic,amcr,HES-000397,https://api.aiscr.cz/id/HES-000397
paleontologická sbírka,paleontological collection,teater,231,https://teater.aiscr.cz/id/231
paleontologie,paleontology,teater,318,https://teater.aiscr.cz/id/318
paleopatologie,paleopathology,teater,348,https://teater.aiscr.cz/id/348
paleopedologie,palaeopedology,teater,349,https://teater.aiscr.cz/id/349
paleopůda,paleosol,teater,350,https://teater.aiscr.cz/id/350
paleozoogeografie,paleozoogeography,teater,342,https://teater.aiscr.cz/id/342
paleozoologie,zoopaleontology,teater,333,https://teater.aiscr.cz/id/333
palestina,"Palestine, State of",amcr,HES-001368,https://api.aiscr.cz/id/HES-001368
palice,club,teater,2129,https://teater.aiscr.cz/id/2129
palisáda,palisade,amcr,HES-000507,https://api.aiscr.cz/id/HES-000507
palla,palla,teater,2174,https://teater.aiscr.cz/id/2174
palladium,palladium,teater,1893,https://teater.aiscr.cz/id/1893
palmeta,palmette,teater,1878,https://teater.aiscr.cz/id/1878
palná zbraň,firearm,teater,2003,https://teater.aiscr.cz/id/2003
paludamentum,paludamentum,teater,2175,https://teater.aiscr.cz/id/2175
palynologie,palynology,amcr,HES-000625,https://api.aiscr.cz/id/HES-000625
palác,palace,amcr,HES-000481,https://api.aiscr.cz/id/HES-000481
