source_lemma,target_translation,source,source_id,uri
přeslen,spindle whorl,amcr,HES-000809,https://api.aiscr.cz/id/HES-000809
přesné datum,exact date,amcr,HES-000887,https://api.aiscr.cz/id/HES-000887
přesně v letech,exact years,amcr,HES-000886,https://api.aiscr.cz/id/HES-000886
převýšená plocha,mound,amcr,HES-000536,https://api.aiscr.cz/id/HES-000536
přezka,buckle,amcr,HES-000732,https://api.aiscr.cz/id/HES-000732
přihrádkový email,cloisonné,teater,3380,https://teater.aiscr.cz/id/3380
přilba,helmet,teater,2017,https://teater.aiscr.cz/id/2017
přirozený půdní horizont,natural topsoil,amcr,HES-000246,https://api.aiscr.cz/id/HES-000246
příbuzenství,kinship,teater,3663,https://teater.aiscr.cz/id/3663
příbuzné disciplíny (geologie),related disciplines (geology),teater,931,https://teater.aiscr.cz/id/931
příbuzné obory,Related disciplines,teater,352,https://teater.aiscr.cz/id/352
příkop,moat,amcr,HES-000508,https://api.aiscr.cz/id/HES-000508
příkopové ohrazení,ditch enclosure,teater,1404,https://teater.aiscr.cz/id/1404
příloha zprávy/hlášení,report annex,amcr,HES-001076,https://api.aiscr.cz/id/HES-001076
přírodní determinismus,(Natural) Determinism,teater,4167,https://teater.aiscr.cz/id/4167
přírodní fakt,biofact,teater,61,https://teater.aiscr.cz/id/61
přírodní útvar,natural landform,amcr,HES-000470,https://api.aiscr.cz/id/HES-000470
přírodní útvar s lidskou aktivitou,inhabited natural landform,amcr,HES-000133,https://api.aiscr.cz/id/HES-000133
přírodovědná sbírka,natural history collection,teater,232,https://teater.aiscr.cz/id/232
přísloví,proverb,teater,4290,https://teater.aiscr.cz/id/4290
přístav,port,teater,1474,https://teater.aiscr.cz/id/1474
přístavní město,seaport,teater,1392,https://teater.aiscr.cz/id/1392
přístupy (archeologie),approaches,teater,17,https://teater.aiscr.cz/id/17
přívěsek,pendant,teater,2398,https://teater.aiscr.cz/id/2398
přívěsek/závěsek,pendant,amcr,HES-000837,https://api.aiscr.cz/id/HES-000837
pšenice dvouzrnka,emmer wheat,teater,1931,https://teater.aiscr.cz/id/1931
pšenice jednozrnka,einkorn wheat,teater,1932,https://teater.aiscr.cz/id/1932
pšenice špalda,spelt,teater,1933,https://teater.aiscr.cz/id/1933
půda,soil,teater,985,https://teater.aiscr.cz/id/985
půdní profil,soil profile,teater,988,https://teater.aiscr.cz/id/988
půdní rozbor,soil testing,teater,983,https://teater.aiscr.cz/id/983
quadrigae,quadriga,teater,1917,https://teater.aiscr.cz/id/1917
quirité,Quirites,teater,3965,https://teater.aiscr.cz/id/3965
radikální geografie,radical geography,teater,4168,https://teater.aiscr.cz/id/4168
radiokarbonové datování,radiocarbon dating,teater,172,https://teater.aiscr.cz/id/172
radiouhlíkové datování,radiocarbon dating,amcr,HES-000608,https://api.aiscr.cz/id/HES-000608
radlice,ploughshare,teater,2160,https://teater.aiscr.cz/id/2160
radnice,town hall,teater,1552,https://teater.aiscr.cz/id/1552
raetie,Raetia,teater,3025,https://teater.aiscr.cz/id/3025
rakev,coffin,amcr,HES-000704,https://api.aiscr.cz/id/HES-000704
rakousko,Austria,amcr,HES-001295,https://api.aiscr.cz/id/HES-001295
rakousko (1867-1918),Cisleithania,teater,3026,https://teater.aiscr.cz/id/3026
ramanova spektrometrie,Raman spectroscopy,teater,184,https://teater.aiscr.cz/id/184
rané křesťanství,early Christianity,teater,728,https://teater.aiscr.cz/id/728
rané mladohradištní období,Early Late Hillfort Period,amcr,HES-000356,https://api.aiscr.cz/id/HES-000356
rané středohradištní období,Early Middle Hillfort Period,amcr,HES-000277,https://api.aiscr.cz/id/HES-000277
raný novověk,early modern period,teater,1264,https://teater.aiscr.cz/id/1264
raný středověk,Early Medieval,amcr,HES-001162,https://api.aiscr.cz/id/HES-001162
raný středověk (historiografie),Early Middle Ages (historiography),teater,1261,https://teater.aiscr.cz/id/1261
raný středověk 1,Early Middle Ages 1,amcr,HES-000386,https://api.aiscr.cz/id/HES-000386
raný středověk 2,Early Middle Ages 2,amcr,HES-000301,https://api.aiscr.cz/id/HES-000301
raný středověk 2–4,Early Middle Ages 2–4,amcr,HES-000276,https://api.aiscr.cz/id/HES-000276
raný středověk 3,Early Middle Ages 3,amcr,HES-001471,https://api.aiscr.cz/id/HES-001471
raný středověk 4,Early Middle Ages 4,amcr,HES-001472,https://api.aiscr.cz/id/HES-001472
raně křesťanská architektura,early christian architecture,teater,430,https://teater.aiscr.cz/id/430
raně křesťanské malířství,early Christian painting,teater,3758,https://teater.aiscr.cz/id/3758
raně křesťanské sochařství,early Christian sculpture,teater,3768,https://teater.aiscr.cz/id/3768
raně křesťanské umění,early Christian art,teater,3737,https://teater.aiscr.cz/id/3737
rasismus,racism,teater,4199,https://teater.aiscr.cz/id/4199
rašeliniště,peat bog,teater,860,https://teater.aiscr.cz/id/860
ražba (mincovnictví),stamp (coinage),teater,3339,https://teater.aiscr.cz/id/3339
reciprocita,reciprocity,teater,3565,https://teater.aiscr.cz/id/3565
redukce (archeologická transformace),reduction (archaeological transformation),teater,65,https://teater.aiscr.cz/id/65
reflexní luk,reflex bow,teater,1999,https://teater.aiscr.cz/id/1999
regest,regest,teater,2239,https://teater.aiscr.cz/id/2239
regia,regia,teater,1556,https://teater.aiscr.cz/id/1556
regionální dějiny,regional history,teater,594,https://teater.aiscr.cz/id/594
regionální geografie,regional geography,teater,893,https://teater.aiscr.cz/id/893
regionální geologie,regional geology,teater,996,https://teater.aiscr.cz/id/996
regionální muzeum,regional museum,teater,247,https://teater.aiscr.cz/id/247
rekonstrukce podoby podle lebky,forensic facial reconstruction,teater,358,https://teater.aiscr.cz/id/358
rekonstrukce staveb,reconstruction of buildings,teater,273,https://teater.aiscr.cz/id/273
relativní chronologie,relative chronology,teater,191,https://teater.aiscr.cz/id/191
religionistika,religious science,teater,680,https://teater.aiscr.cz/id/680
religiozita,religiosity,teater,827,https://teater.aiscr.cz/id/827
relikviář,reliquary,teater,2073,https://teater.aiscr.cz/id/2073
reliéf (sochařství),relief sculpture,teater,1881,https://teater.aiscr.cz/id/1881
reliéfní útvar,relief feature,teater,1702,https://teater.aiscr.cz/id/1702
renesance,renaissance,teater,507,https://teater.aiscr.cz/id/507
renesanční architektura,renaissance architecture,teater,433,https://teater.aiscr.cz/id/433
renesanční keramika,renaissance pottery,teater,2462,https://teater.aiscr.cz/id/2462
renesanční malířství,renaissance painting,teater,441,https://teater.aiscr.cz/id/441
renesanční nástěnná malba,renaissance mural painting,teater,1869,https://teater.aiscr.cz/id/1869
renesanční oltář,renaissance altar,teater,1726,https://teater.aiscr.cz/id/1726
renesanční portál,renaissance doorway,teater,1599,https://teater.aiscr.cz/id/1599
renesanční sochařství,renaissance sculpture,teater,451,https://teater.aiscr.cz/id/451
rentgenová fluorescenční analýza,X-ray fluorescence analysis,teater,173,https://teater.aiscr.cz/id/173
replika,replica,teater,214,https://teater.aiscr.cz/id/214
republika,republic,teater,3682,https://teater.aiscr.cz/id/3682
rescriptum,rescriptum,teater,2240,https://teater.aiscr.cz/id/2240
respondent,respondent,teater,4307,https://teater.aiscr.cz/id/4307
restaurování,restoration,teater,217,https://teater.aiscr.cz/id/217
restaurování muzejních exponátů,restoration of museum exhibits,teater,218,https://teater.aiscr.cz/id/218
restaurování památek,antiquities restoration,teater,219,https://teater.aiscr.cz/id/219
restaurátorský průzkum,restoration research,teater,174,https://teater.aiscr.cz/id/174
retábl,retable,teater,1727,https://teater.aiscr.cz/id/1727
revizní výzkum,revision excavation,teater,107,https://teater.aiscr.cz/id/107
rhodos (řecko : ostrov),Rhodes,teater,4091,https://teater.aiscr.cz/id/4091
rhyton,rhyton,teater,2074,https://teater.aiscr.cz/id/2074
rituál,ritual,teater,3857,https://teater.aiscr.cz/id/3857
rituální vražda,ritual murder,teater,834,https://teater.aiscr.cz/id/834
rituály a obřady,rites and ceremonies,teater,829,https://teater.aiscr.cz/id/829
robota,corvée,teater,3606,https://teater.aiscr.cz/id/3606
rod,lineage,teater,4218,https://teater.aiscr.cz/id/4218
rodokmen,genealogical table,teater,641,https://teater.aiscr.cz/id/641
rodová kronika,family chronicle,teater,2207,https://teater.aiscr.cz/id/2207
rodový znak,family coat of arms,teater,643,https://teater.aiscr.cz/id/643
roh,horn,amcr,HES-000945,https://api.aiscr.cz/id/HES-000945
rohovec,chert,teater,2534,https://teater.aiscr.cz/id/2534
rokoko,rococo,teater,3739,https://teater.aiscr.cz/id/3739
rokoková architektura,rococo architecture,teater,3752,https://teater.aiscr.cz/id/3752
rokokové malířství,rococo painting,teater,3760,https://teater.aiscr.cz/id/3760
rolnička,jingle bell,amcr,HES-000701,https://api.aiscr.cz/id/HES-000701
rolník,peasant,teater,3646,https://teater.aiscr.cz/id/3646
romanizace,romanization,teater,2775,https://teater.aiscr.cz/id/2775
romantická archeologie,romantic archeology,teater,10,https://teater.aiscr.cz/id/10
romantický historismus,romantic historicism,teater,3742,https://teater.aiscr.cz/id/3742
románská architektura,romanesque architecture,teater,436,https://teater.aiscr.cz/id/436
románská nástěnná malba,romanesque mural painting,teater,1870,https://teater.aiscr.cz/id/1870
románské malířství,romanesque painting,teater,444,https://teater.aiscr.cz/id/444
románské sochařství,romanesque sculpture,teater,452,https://teater.aiscr.cz/id/452
románské umění,romanesque art,teater,508,https://teater.aiscr.cz/id/508
románský portál,Romanesque doorway,teater,1600,https://teater.aiscr.cz/id/1600
rondel,roundel,teater,1405,https://teater.aiscr.cz/id/1405
rondel/rondeloid,roundel/rondeloid,amcr,HES-000012,https://api.aiscr.cz/id/HES-000012
rostlina,plant,teater,300,https://teater.aiscr.cz/id/300
rostlinná výroba,crop production,teater,3213,https://teater.aiscr.cz/id/3213
rostlinné makrozbytky,plant macro-remains,amcr,HES-001009,https://api.aiscr.cz/id/HES-001009
rostra,rostra,teater,1610,https://teater.aiscr.cz/id/1610
rotunda,rotunda,teater,1341,https://teater.aiscr.cz/id/1341
rovníková guinea,Equatorial Guinea,amcr,HES-001235,https://api.aiscr.cz/id/HES-001235
roxolani,Roxolani,teater,3966,https://teater.aiscr.cz/id/3966
rozhovor (etnologie),interview (ethnology),teater,4314,https://teater.aiscr.cz/id/4314
rozhovor (geografie),dialogue (geography),teater,4159,https://teater.aiscr.cz/id/4159
ruda,ore,amcr,HES-000830,https://api.aiscr.cz/id/HES-000830
rudní ložisko,ore deposit,teater,3511,https://teater.aiscr.cz/id/3511
rugiové,Rugii,teater,2612,https://teater.aiscr.cz/id/2612
ruina,ruin,amcr,HES-001456,https://api.aiscr.cz/id/HES-001456
rukavičkářství,glove making,teater,3364,https://teater.aiscr.cz/id/3364
rukopis,manuscript,teater,656,https://teater.aiscr.cz/id/656
rukopisná iniciála,initial,teater,664,https://teater.aiscr.cz/id/664
rumunsko,Romania,amcr,HES-001236,https://api.aiscr.cz/id/HES-001236
runová magie,runic magic,teater,2892,https://teater.aiscr.cz/id/2892
runové nápisy,runic inscriptions,teater,2893,https://teater.aiscr.cz/id/2893
runy,runes,teater,2891,https://teater.aiscr.cz/id/2891
rusko,Russian Federation (the),amcr,HES-001392,https://api.aiscr.cz/id/HES-001392
ruční bubínek,tympanum,teater,1842,https://teater.aiscr.cz/id/1842
ruština,Russian,amcr,HES-000173,https://api.aiscr.cz/id/HES-000173
rwanda,Rwanda,amcr,HES-001393,https://api.aiscr.cz/id/HES-001393
rybník,pond,amcr,HES-000055,https://api.aiscr.cz/id/HES-000055
rybník/nádrž,pond/water tank,amcr,HES-000505,https://api.aiscr.cz/id/HES-000505
rybolov,fishing,teater,3207,https://teater.aiscr.cz/id/3207
rybářské závaží,sinker,teater,2153,https://teater.aiscr.cz/id/2153
rychtář,reeve,teater,3436,https://teater.aiscr.cz/id/3436
rydlo,graver,amcr,HES-000810,https://api.aiscr.cz/id/HES-000810
rytina,engraving,teater,1883,https://teater.aiscr.cz/id/1883
rytíř,knight,teater,3654,https://teater.aiscr.cz/id/3654
rytířský řeholní řád,order of knighthood and chivalry,teater,3135,https://teater.aiscr.cz/id/3135
rámař,picture framer,teater,3363,https://teater.aiscr.cz/id/3363
rámařství,framing,teater,3362,https://teater.aiscr.cz/id/3362
rétorománi,Romansh people,teater,2716,https://teater.aiscr.cz/id/2716
rétorománská literatura,Raeto-Romance literature,teater,2717,https://teater.aiscr.cz/id/2717
rétorománština,Romansch (Rhaeto-Roman),teater,2718,https://teater.aiscr.cz/id/2718
réunion,Réunion,amcr,HES-001303,https://api.aiscr.cz/id/HES-001303
rýč,spade,teater,2135,https://teater.aiscr.cz/id/2135
rýžoviště,panning site,amcr,HES-000035,https://api.aiscr.cz/id/HES-000035
rýžování,washing,teater,3512,https://teater.aiscr.cz/id/3512
růženec,rosary,teater,2400,https://teater.aiscr.cz/id/2400
růženec/medailon,rosary/medallion,amcr,HES-000702,https://api.aiscr.cz/id/HES-000702
sabellové,Sabellians,teater,3967,https://teater.aiscr.cz/id/3967
sabinové,Sabines,teater,3968,https://teater.aiscr.cz/id/3968
sad,orchard,teater,1297,https://teater.aiscr.cz/id/1297
sagum,sagum,teater,2180,https://teater.aiscr.cz/id/2180
saint pierre a miquelon,Saint Pierre and Miquelon,amcr,HES-001280,https://api.aiscr.cz/id/HES-001280
sakrální architektura,sacred architecture,teater,1710,https://teater.aiscr.cz/id/1710
salcbursko,Salzburg,teater,3027,https://teater.aiscr.cz/id/3027
salesiánská spiritualita,Salesian spirituality,teater,816,https://teater.aiscr.cz/id/816
salpinx,salpinx,teater,1843,https://teater.aiscr.cz/id/1843
salvador,El Salvador,amcr,HES-001281,https://api.aiscr.cz/id/HES-001281
samařsko (západní břeh jordánu),Samaria,teater,4092,https://teater.aiscr.cz/id/4092
samnité,Samnites,teater,3969,https://teater.aiscr.cz/id/3969
samnium (itálie),Samnium,teater,4093,https://teater.aiscr.cz/id/4093
samoa,Samoa,amcr,HES-001321,https://api.aiscr.cz/id/HES-001321
samostatná usedlost,individual homestead,amcr,HES-000067,https://api.aiscr.cz/id/HES-000067
samothraké (řecko : ostrov),Samothrace,teater,4095,https://teater.aiscr.cz/id/4095
san marino,San Marino,amcr,HES-001376,https://api.aiscr.cz/id/HES-001376
sandály,sandals,teater,2325,https://teater.aiscr.cz/id/2325
saně,sleds,teater,1911,https://teater.aiscr.cz/id/1911
sapropelit,sapropel,teater,2536,https://teater.aiscr.cz/id/2536
sardinie (itálie),Sardinia,teater,4096,https://teater.aiscr.cz/id/4096
sarkofág,sarcophagus,teater,2316,https://teater.aiscr.cz/id/2316
sarmati,Sarmatians,teater,2804,https://teater.aiscr.cz/id/2804
sarmatie,Sarmatia,teater,4097,https://teater.aiscr.cz/id/4097
sasko (německo),Duchy of Saxony,teater,3029,https://teater.aiscr.cz/id/3029
saská lužická kultura,Saxonian-Lusatian Culture,amcr,HES-000388,https://api.aiscr.cz/id/HES-000388
saská vévodství,Saxon duchies,teater,3028,https://teater.aiscr.cz/id/3028
sasové,Saxons,teater,2613,https://teater.aiscr.cz/id/2613
satelitní navigační systém,satellite navigation system,teater,128,https://teater.aiscr.cz/id/128
satelitní snímek,satellite imaging,teater,131,https://teater.aiscr.cz/id/131
savojsko,Savoy,teater,3030,https://teater.aiscr.cz/id/3030
sazená,Sazená,amcr,HES-000207,https://api.aiscr.cz/id/HES-000207
saúdská arábie,Saudi Arabia,amcr,HES-001380,https://api.aiscr.cz/id/HES-001380
sbírkotvorná činnost,collection of specimens,teater,233,https://teater.aiscr.cz/id/233
sbírkový předmět,collection’s objects,teater,236,https://teater.aiscr.cz/id/236
schizma,Schism,teater,787,https://teater.aiscr.cz/id/787
schodiště,staircase,amcr,HES-000452,https://api.aiscr.cz/id/HES-000452
scholion,scholia,teater,2241,https://teater.aiscr.cz/id/2241
schránky měkkýšů,mollusc shell,amcr,HES-000946,https://api.aiscr.cz/id/HES-000946
schusseriedská kultura,Schussenried Culture,amcr,HES-000364,https://api.aiscr.cz/id/HES-000364
secesní malířství,Art Nouveau painting,teater,3766,https://teater.aiscr.cz/id/3766
secesní umění,art nouveau,teater,529,https://teater.aiscr.cz/id/529
sediment,sediment,teater,1001,https://teater.aiscr.cz/id/1001
sedimentologický výzkum,sedimentological research,teater,999,https://teater.aiscr.cz/id/999
sedimentologie,sedimentology,teater,997,https://teater.aiscr.cz/id/997
sedimentární hornina,sedimentary rock,teater,1005,https://teater.aiscr.cz/id/1005
sedlo,saddle,teater,1901,https://teater.aiscr.cz/id/1901
sedlák,farmer,teater,3647,https://teater.aiscr.cz/id/3647
sedlář,saddler,teater,3366,https://teater.aiscr.cz/id/3366
sedlářství,saddlery,teater,3365,https://teater.aiscr.cz/id/3365
sedm divů světa,Wonders of the World,teater,1422,https://teater.aiscr.cz/id/1422
sedmihradsko,Transylvania,teater,3031,https://teater.aiscr.cz/id/3031
seizmicita,seismicity,teater,942,https://teater.aiscr.cz/id/942
seizmologie,seismology,teater,941,https://teater.aiscr.cz/id/941
sejmský kulturní okruh,Seima-Turbino phenomenon,teater,1173,https://teater.aiscr.cz/id/1173
sejp,spoil heap,teater,1744,https://teater.aiscr.cz/id/1744
sejp/halda,spoil heap,amcr,HES-000563,https://api.aiscr.cz/id/HES-000563
sekera,axe,amcr,HES-000802,https://api.aiscr.cz/id/HES-000802
sekeromlat,hammer-axe,teater,2006,https://teater.aiscr.cz/id/2006
sekeromlat/mlat,hammer axe,amcr,HES-000789,https://api.aiscr.cz/id/HES-000789
sekerovitá hřivna,axe-ingot,teater,2299,https://teater.aiscr.cz/id/2299
sekáč,chopper,amcr,HES-000801,https://api.aiscr.cz/id/HES-000801
seleukovská říše,Seleucid Empire,teater,4098,https://teater.aiscr.cz/id/4098
sella curulis,sella curulis,teater,2366,https://teater.aiscr.cz/id/2366
semeno,seed,teater,2537,https://teater.aiscr.cz/id/2537
senegal,Senegal,amcr,HES-001215,https://api.aiscr.cz/id/HES-001215
seniorát,agnatic seniority,teater,3598,https://teater.aiscr.cz/id/3598
senonové,Senones,teater,3942,https://teater.aiscr.cz/id/3942
seník,hayloft,teater,1557,https://teater.aiscr.cz/id/1557
sequanové,Sequani,teater,3943,https://teater.aiscr.cz/id/3943
servité,Servites,teater,3161,https://teater.aiscr.cz/id/3161
sestertius,sestertius,teater,2292,https://teater.aiscr.cz/id/2292
sesuv půdy,landslide,teater,961,https://teater.aiscr.cz/id/961
severní makedonie,North Macedonia,amcr,HES-001375,https://api.aiscr.cz/id/HES-001375
severní mariany,Northern Mariana Islands (the),amcr,HES-001216,https://api.aiscr.cz/id/HES-001216
severská mytologie,Nordic mythology,teater,2894,https://teater.aiscr.cz/id/2894
severské náboženství,Nordic religion,teater,2895,https://teater.aiscr.cz/id/2895
sexuální dimorfismus,sexual dimorphism,teater,311,https://teater.aiscr.cz/id/311
seychely,Seychelles,amcr,HES-001307,https://api.aiscr.cz/id/HES-001307
sečná zbraň,cutting arm,teater,1995,https://teater.aiscr.cz/id/1995
sfragistika,sphragistics,teater,677,https://teater.aiscr.cz/id/677
shluk bodových objektů,group of point features,amcr,HES-001029,https://api.aiscr.cz/id/HES-001029
shluková analýza,cluster analysis,teater,284,https://teater.aiscr.cz/id/284
sicílie (itálie),Sicily,teater,4099,https://teater.aiscr.cz/id/4099
sierra leone,Sierra Leone,amcr,HES-001257,https://api.aiscr.cz/id/HES-001257
signální nástroj,signaling tool,teater,1844,https://teater.aiscr.cz/id/1844
sikanové,Sicani,teater,3971,https://teater.aiscr.cz/id/3971
silikáty,silicates,teater,3270,https://teater.aiscr.cz/id/3270
silnice,road,teater,1416,https://teater.aiscr.cz/id/1416
silniční síť,road network,teater,1418,https://teater.aiscr.cz/id/1418
sima,sima,teater,1807,https://teater.aiscr.cz/id/1807
sinajský poloostrov (egypt),Sinai Peninsula,teater,4100,https://teater.aiscr.cz/id/4100
singapur,Singapore,amcr,HES-001255,https://api.aiscr.cz/id/HES-001255
sistrum,sistrum,teater,1845,https://teater.aiscr.cz/id/1845
situla,situla,teater,2075,https://teater.aiscr.cz/id/2075
skaldská poezie,scaldic poetry,teater,2899,https://teater.aiscr.cz/id/2899
skalní hrad,rock castle,teater,1433,https://teater.aiscr.cz/id/1433
skalní kaple,rock chapel,teater,1332,https://teater.aiscr.cz/id/1332
skalní klášter,rock monastery,teater,1385,https://teater.aiscr.cz/id/1385
skalní rytina,rock carving,amcr,HES-000541,https://api.aiscr.cz/id/HES-000541
skandinávie,Scandinavia,teater,3032,https://teater.aiscr.cz/id/3032
skanzen,open-air museum,teater,248,https://teater.aiscr.cz/id/248
skenovací elektronová mikroskopie,scanning electron microscopy,teater,148,https://teater.aiscr.cz/id/148
sklenářství,glazing,teater,3370,https://teater.aiscr.cz/id/3370
skleněný výrobek,glassware,teater,2538,https://teater.aiscr.cz/id/2538
sklep,cellar,amcr,HES-000488,https://api.aiscr.cz/id/HES-000488
sklizňové slavnosti,Harvest festivals,teater,4269,https://teater.aiscr.cz/id/4269
sklo,glass,amcr,HES-000947,https://api.aiscr.cz/id/HES-000947
sklárna,glassworks,amcr,HES-000030,https://api.aiscr.cz/id/HES-000030
sklář,glassworker,teater,3368,https://teater.aiscr.cz/id/3368
sklářka,woman glassworker,teater,3369,https://teater.aiscr.cz/id/3369
sklářská huť,glassworks (sklářská huť),teater,1280,https://teater.aiscr.cz/id/1280
sklářská pec,glass furnace,teater,1698,https://teater.aiscr.cz/id/1698
sklářství,glassworking,teater,3367,https://teater.aiscr.cz/id/3367
skopci,Skoptsy,teater,722,https://teater.aiscr.cz/id/722
skot,cattle,teater,3233,https://teater.aiscr.cz/id/3233
skotsko,Scotland,teater,3052,https://teater.aiscr.cz/id/3052
skotská gaelština,Scots Gaelic,teater,2673,https://teater.aiscr.cz/id/2673
skořápka,egg shell,teater,1946,https://teater.aiscr.cz/id/1946
skořápka plodu,fruit shell/nutshell,amcr,HES-000754,https://api.aiscr.cz/id/HES-000754
skriptorium,scriptorium,teater,1769,https://teater.aiscr.cz/id/1769
skryté pozorování,hidden observation,teater,4311,https://teater.aiscr.cz/id/4311
skupina federmesser,Federmesser group,teater,1098,https://teater.aiscr.cz/id/1098
skupina sond,group of pit trenches,amcr,HES-001151,https://api.aiscr.cz/id/HES-001151
skupina vrtů,group of sediment core samples,amcr,HES-001147,https://api.aiscr.cz/id/HES-001147
skupina řezů,group of linear trenches,amcr,HES-001149,https://api.aiscr.cz/id/HES-001149
skupina/síť sond,group of pit trenches,amcr,HES-001058,https://api.aiscr.cz/id/HES-001058
skupinový rozhovor,group interview,teater,4318,https://teater.aiscr.cz/id/4318
skyfos,skyphos,teater,2076,https://teater.aiscr.cz/id/2076
skytové,Scythians,teater,2805,https://teater.aiscr.cz/id/2805
skytské umění,Scythian art,teater,2806,https://teater.aiscr.cz/id/2806
skéné,skene,teater,1494,https://teater.aiscr.cz/id/1494
skýros (řecko : ostrov),Skyros,teater,4101,https://teater.aiscr.cz/id/4101
skýtie,Scythia,teater,4102,https://teater.aiscr.cz/id/4102
skýtština,Khotan,teater,2807,https://teater.aiscr.cz/id/2807
skříň,wardrobe,teater,2026,https://teater.aiscr.cz/id/2026
skříňkový hrob,cist grave,teater,1659,https://teater.aiscr.cz/id/1659
sladkovodní měkkýš,freshwater mollusc,teater,2507,https://teater.aiscr.cz/id/2507
sladovnictví,malt industry,teater,3371,https://teater.aiscr.cz/id/3371
sladovník,maltster,teater,3372,https://teater.aiscr.cz/id/3372
slatina,fen,teater,861,https://teater.aiscr.cz/id/861
slavníkovci,Slavník dynasty,teater,3088,https://teater.aiscr.cz/id/3088
slavonie,Slavonia,teater,3033,https://teater.aiscr.cz/id/3033
slezsko,Silesia,teater,3034,https://teater.aiscr.cz/id/3034
slezsko (polsko),Silesia (Poland),teater,3048,https://teater.aiscr.cz/id/3048
slezsko (česko),Silesia (Czechia),teater,3047,https://teater.aiscr.cz/id/3047
slezskoplatěnická kultura,Silesian-Platěnice Culture,amcr,HES-000295,https://api.aiscr.cz/id/HES-000295
slezskoplatěnická kultura (hab),Silesian-Platěnice Culture (HaB),amcr,HES-000296,https://api.aiscr.cz/id/HES-000296
slezskoplatěnická kultura (hac–d),Silesian–Platěnice Culture (HaC–D),amcr,HES-000378,https://api.aiscr.cz/id/HES-000378
slezskoplatěnická kultura hac-d,Silesian-Platěnice culture (HaC-D),teater,1206,https://teater.aiscr.cz/id/1206
slezská knížectví,Duchies of Silesia,teater,3046,https://teater.aiscr.cz/id/3046
slezská kultura,Silesian Culture,amcr,HES-000298,https://api.aiscr.cz/id/HES-000298
slitek,bloom,amcr,HES-000831,https://api.aiscr.cz/id/HES-000831
slitina,alloy,teater,3335,https://teater.aiscr.cz/id/3335
slonovina,elephant ivory,teater,2540,https://teater.aiscr.cz/id/2540
slonovina/mamutovina,ivory,amcr,HES-000948,https://api.aiscr.cz/id/HES-000948
sloup,column,teater,1602,https://teater.aiscr.cz/id/1602
sloupořadí,colonnade,teater,1611,https://teater.aiscr.cz/id/1611
slovanská archeologie,Slavic archaeology,teater,50,https://teater.aiscr.cz/id/50
slovanská keramika,Slavic pottery,teater,2463,https://teater.aiscr.cz/id/2463
slovanská kultura,Slavic culture,teater,2813,https://teater.aiscr.cz/id/2813
slovanská liturgie,Slavic liturgy,teater,2830,https://teater.aiscr.cz/id/2830
slovanská magie,Slavic magic,teater,2819,https://teater.aiscr.cz/id/2819
slovanská mytologie,Slavic mythology,teater,2816,https://teater.aiscr.cz/id/2816
slovanské bohyně,Slavic goddesses,teater,2820,https://teater.aiscr.cz/id/2820
slovanské jazyky,Slavic languages,teater,2826,https://teater.aiscr.cz/id/2826
slovanské náboženství,Slavic religion,teater,2818,https://teater.aiscr.cz/id/2818
slovanské pověsti,Slavic legends,teater,2817,https://teater.aiscr.cz/id/2817
slovanské písemnictví,Slavic literature,teater,2823,https://teater.aiscr.cz/id/2823
slovanské písmo,Slavic script,teater,2822,https://teater.aiscr.cz/id/2822
slované,Slavs,teater,2808,https://teater.aiscr.cz/id/2808
slovanští bohové,Slavic gods,teater,2821,https://teater.aiscr.cz/id/2821
slovensko,Slovakia,amcr,HES-001367,https://api.aiscr.cz/id/HES-001367
slovenština,Slovak,amcr,HES-000171,https://api.aiscr.cz/id/HES-000171
slovesný folklor,oral folklore,teater,4278,https://teater.aiscr.cz/id/4278
slovinsko,Slovenia,amcr,HES-001312,https://api.aiscr.cz/id/HES-001312
složky armády,division of army,teater,3518,https://teater.aiscr.cz/id/3518
slunečno,sunny,amcr,HES-000590,https://api.aiscr.cz/id/HES-000590
"slunečno, oblačno","sunny, cloudy",amcr,HES-000591,https://api.aiscr.cz/id/HES-000591
"slunečno, oblačno, zataženo","sunny, cloudy, overcast",amcr,HES-000592,https://api.aiscr.cz/id/HES-000592
sládek,brewmaster,teater,3351,https://teater.aiscr.cz/id/3351
sláma,straw,teater,1947,https://teater.aiscr.cz/id/1947
slámování,brushing,teater,3278,https://teater.aiscr.cz/id/3278
smírčí kamen,reconciliation stone,teater,1735,https://teater.aiscr.cz/id/1735
smírčí kříž,wayside cross,amcr,HES-000502,https://api.aiscr.cz/id/HES-000502
smíšený les,mixed forest,teater,858,https://teater.aiscr.cz/id/858
snížené podloží,levelled subsoil,amcr,HES-001160,https://api.aiscr.cz/id/HES-001160
socha,statue,teater,1888,https://teater.aiscr.cz/id/1888
sochař,sculptor,teater,495,https://teater.aiscr.cz/id/495
sochařka,sculptor (female),teater,500,https://teater.aiscr.cz/id/500
sochařství,sculpture,teater,468,https://teater.aiscr.cz/id/468
sochařství 19. století,19th century sculpture,teater,3770,https://teater.aiscr.cz/id/3770
socializace,socialization,teater,4219,https://teater.aiscr.cz/id/4219
socioekonomická geografie,socioeconomic geography,teater,896,https://teater.aiscr.cz/id/896
sociogeografická regionalizace,human regionalization,teater,895,https://teater.aiscr.cz/id/895
